Rule Evaluation
marriedTo(X,Y) :- marriedTo(Y,X).
  A='Anne', B='Fred'
  A='Bea', B='Zed'
  A='Jan', B='Ned'
  A='Jane', B='Tim'
  A='Jill', B='Jack'
  A='Kim', B='Dan'
childOf(X,Y) :- childOf(X,Z),marriedTo(Y,Z).
  A='Anne', B='Jack'
  A='Bill', B='Anne'
  A='Dan', B='Ned'
  A='Jill', B='Bea'
  A='Lou', B='Tim'
  A='Mary', B='Jane'
  A='Ned', B='Zed'
  A='Ron', B='Kim'
  A='Stan', B='Ned'
  A='Sue', B='Jill'
  A='Tim', B='Jill'
  A='Tom', B='Anne'
siblingOf(X,Y) :- childOf(X,Z),childOf(Y,Z).
  A='Anna', B='Anna'
  A='Anna', B='Ron'
  A='Anne', B='Anne'
  A='Anne', B='Sue'
  A='Anne', B='Tim'
  A='Bill', B='Bill'
  A='Bill', B='Tom'
  A='Dan', B='Dan'
  A='Dan', B='Stan'
  A='Jill', B='Jill'
  A='Jill', B='Ned'
  A='Lou', B='Lou'
  A='Lou', B='Mary'
  A='Mary', B='Lou'
  A='Mary', B='Mary'
  A='Ned', B='Jill'
  A='Ned', B='Ned'
  A='Ron', B='Anna'
  A='Ron', B='Ron'
  A='Stan', B='Dan'
  A='Stan', B='Stan'
  A='Sue', B='Anne'
  A='Sue', B='Sue'
  A='Sue', B='Tim'
  A='Tim', B='Anne'
  A='Tim', B='Sue'
  A='Tim', B='Tim'
  A='Tom', B='Bill'
  A='Tom', B='Tom'
descendantOf(X,Y) :- childOf(X,Y).
  A='Anna', B='Dan'
  A='Anna', B='Kim'
  A='Anne', B='Jack'
  A='Anne', B='Jill'
  A='Bill', B='Anne'
  A='Bill', B='Fred'
  A='Dan', B='Jan'
  A='Dan', B='Ned'
  A='Jill', B='Bea'
  A='Jill', B='Zed'
  A='Lou', B='Jane'
  A='Lou', B='Tim'
  A='Mary', B='Jane'
  A='Mary', B='Tim'
  A='Ned', B='Bea'
  A='Ned', B='Zed'
  A='Ron', B='Dan'
  A='Ron', B='Kim'
  A='Stan', B='Jan'
  A='Stan', B='Ned'
  A='Sue', B='Jack'
  A='Sue', B='Jill'
  A='Tim', B='Jack'
  A='Tim', B='Jill'
  A='Tom', B='Anne'
  A='Tom', B='Fred'
descendantOf(X,Y) :- childOf(X,Z),descendantOf(Z,Y).
  A='Anna', B='Jan'
  A='Anna', B='Ned'
  A='Anne', B='Bea'
  A='Anne', B='Zed'
  A='Bill', B='Jack'
  A='Bill', B='Jill'
  A='Dan', B='Bea'
  A='Dan', B='Zed'
  A='Lou', B='Jack'
  A='Lou', B='Jill'
  A='Mary', B='Jack'
  A='Mary', B='Jill'
  A='Ron', B='Jan'
  A='Ron', B='Ned'
  A='Stan', B='Bea'
  A='Stan', B='Zed'
  A='Sue', B='Bea'
  A='Sue', B='Zed'
  A='Tim', B='Bea'
  A='Tim', B='Zed'
  A='Tom', B='Jack'
  A='Tom', B='Jill'
ancestorOf(X,Y) :- descendantOf(Y,X).
  A='Anne', B='Bill'
  A='Anne', B='Tom'
  A='Bea', B='Anne'
  A='Bea', B='Dan'
  A='Bea', B='Jill'
  A='Bea', B='Ned'
  A='Bea', B='Stan'
  A='Bea', B='Sue'
  A='Bea', B='Tim'
  A='Dan', B='Anna'
  A='Dan', B='Ron'
  A='Fred', B='Bill'
  A='Fred', B='Tom'
  A='Jack', B='Anne'
  A='Jack', B='Bill'
  A='Jack', B='Lou'
  A='Jack', B='Mary'
  A='Jack', B='Sue'
  A='Jack', B='Tim'
  A='Jack', B='Tom'
  A='Jan', B='Anna'
  A='Jan', B='Dan'
  A='Jan', B='Ron'
  A='Jan', B='Stan'
  A='Jane', B='Lou'
  A='Jane', B='Mary'
  A='Jill', B='Anne'
  A='Jill', B='Bill'
  A='Jill', B='Lou'
  A='Jill', B='Mary'
  A='Jill', B='Sue'
  A='Jill', B='Tim'
  A='Jill', B='Tom'
  A='Kim', B='Anna'
  A='Kim', B='Ron'
  A='Ned', B='Anna'
  A='Ned', B='Dan'
  A='Ned', B='Ron'
  A='Ned', B='Stan'
  A='Tim', B='Lou'
  A='Tim', B='Mary'
  A='Zed', B='Anne'
  A='Zed', B='Dan'
  A='Zed', B='Jill'
  A='Zed', B='Ned'
  A='Zed', B='Stan'
  A='Zed', B='Sue'
  A='Zed', B='Tim'
relativeOf(X,Y) :- descendantOf(X,Z),descendantOf(Y,Z).
  A='Anna', B='Anna'
  A='Anna', B='Dan'
  A='Anna', B='Ron'
  A='Anna', B='Stan'
  A='Anne', B='Anne'
  A='Anne', B='Bill'
  A='Anne', B='Dan'
  A='Anne', B='Jill'
  A='Anne', B='Lou'
  A='Anne', B='Mary'
  A='Anne', B='Ned'
  A='Anne', B='Stan'
  A='Anne', B='Sue'
  A='Anne', B='Tim'
  A='Anne', B='Tom'
  A='Bill', B='Anne'
  A='Bill', B='Bill'
  A='Bill', B='Lou'
  A='Bill', B='Mary'
  A='Bill', B='Sue'
  A='Bill', B='Tim'
  A='Bill', B='Tom'
  A='Dan', B='Anna'
  A='Dan', B='Anne'
  A='Dan', B='Dan'
  A='Dan', B='Jill'
  A='Dan', B='Ned'
  A='Dan', B='Ron'
  A='Dan', B='Stan'
  A='Dan', B='Sue'
  A='Dan', B='Tim'
  A='Jill', B='Anne'
  A='Jill', B='Dan'
  A='Jill', B='Jill'
  A='Jill', B='Ned'
  A='Jill', B='Stan'
  A='Jill', B='Sue'
  A='Jill', B='Tim'
  A='Lou', B='Anne'
  A='Lou', B='Bill'
  A='Lou', B='Lou'
  A='Lou', B='Mary'
  A='Lou', B='Sue'
  A='Lou', B='Tim'
  A='Lou', B='Tom'
  A='Mary', B='Anne'
  A='Mary', B='Bill'
  A='Mary', B='Lou'
  A='Mary', B='Mary'
  A='Mary', B='Sue'
  A='Mary', B='Tim'
  A='Mary', B='Tom'
  A='Ned', B='Anne'
  A='Ned', B='Dan'
  A='Ned', B='Jill'
  A='Ned', B='Ned'
  A='Ned', B='Stan'
  A='Ned', B='Sue'
  A='Ned', B='Tim'
  A='Ron', B='Anna'
  A='Ron', B='Dan'
  A='Ron', B='Ron'
  A='Ron', B='Stan'
  A='Stan', B='Anna'
  A='Stan', B='Anne'
  A='Stan', B='Dan'
  A='Stan', B='Jill'
  A='Stan', B='Ned'
  A='Stan', B='Ron'
  A='Stan', B='Stan'
  A='Stan', B='Sue'
  A='Stan', B='Tim'
  A='Sue', B='Anne'
  A='Sue', B='Bill'
  A='Sue', B='Dan'
  A='Sue', B='Jill'
  A='Sue', B='Lou'
  A='Sue', B='Mary'
  A='Sue', B='Ned'
  A='Sue', B='Stan'
  A='Sue', B='Sue'
  A='Sue', B='Tim'
  A='Sue', B='Tom'
  A='Tim', B='Anne'
  A='Tim', B='Bill'
  A='Tim', B='Dan'
  A='Tim', B='Jill'
  A='Tim', B='Lou'
  A='Tim', B='Mary'
  A='Tim', B='Ned'
  A='Tim', B='Stan'
  A='Tim', B='Sue'
  A='Tim', B='Tim'
  A='Tim', B='Tom'
  A='Tom', B='Anne'
  A='Tom', B='Bill'
  A='Tom', B='Lou'
  A='Tom', B='Mary'
  A='Tom', B='Sue'
  A='Tom', B='Tim'
  A='Tom', B='Tom'
marriedTo(X,Y) :- marriedTo(Y,X).
childOf(X,Y) :- childOf(X,Z),marriedTo(Y,Z).
siblingOf(X,Y) :- childOf(X,Z),childOf(Y,Z).
descendantOf(X,Y) :- childOf(X,Y).
descendantOf(X,Y) :- childOf(X,Z),descendantOf(Z,Y).
  A='Anna', B='Bea'
  A='Anna', B='Zed'
  A='Bill', B='Bea'
  A='Bill', B='Zed'
  A='Lou', B='Bea'
  A='Lou', B='Zed'
  A='Mary', B='Bea'
  A='Mary', B='Zed'
