Dependency Graph
R0:R6
R1:R0
R2:R0
R3:R0
R4:R0
R5:R1,R2,R3,R4
R6:R6

Rule Evaluation
SCC: R6
shift(a,b,c,d) :- shift(d,a,b,c).
  a='b', b='c', c='d', d='a'
shift(a,b,c,d) :- shift(d,a,b,c).
  a='c', b='d', c='a', d='b'
shift(a,b,c,d) :- shift(d,a,b,c).
  a='d', b='a', c='b', d='c'
shift(a,b,c,d) :- shift(d,a,b,c).
4 passes: R6
SCC: R0
chars(a) :- shift(a,b,c,d).
  all='a'
  all='b'
  all='c'
  all='d'
1 passes: R0
SCC: R4
ade(a,d,e) :- chars(a),chars(d),chars(e).
  a='a', d='a', e='a'
  a='a', d='a', e='b'
  a='a', d='a', e='c'
  a='a', d='a', e='d'
  a='a', d='b', e='a'
  a='a', d='b', e='b'
  a='a', d='b', e='c'
  a='a', d='b', e='d'
  a='a', d='c', e='a'
  a='a', d='c', e='b'
  a='a', d='c', e='c'
  a='a', d='c', e='d'
  a='a', d='d', e='a'
  a='a', d='d', e='b'
  a='a', d='d', e='c'
  a='a', d='d', e='d'
  a='b', d='a', e='a'
  a='b', d='a', e='b'
  a='b', d='a', e='c'
  a='b', d='a', e='d'
  a='b', d='b', e='a'
  a='b', d='b', e='b'
  a='b', d='b', e='c'
  a='b', d='b', e='d'
  a='b', d='c', e='a'
  a='b', d='c', e='b'
  a='b', d='c', e='c'
  a='b', d='c', e='d'
  a='b', d='d', e='a'
  a='b', d='d', e='b'
  a='b', d='d', e='c'
  a='b', d='d', e='d'
  a='c', d='a', e='a'
  a='c', d='a', e='b'
  a='c', d='a', e='c'
  a='c', d='a', e='d'
  a='c', d='b', e='a'
  a='c', d='b', e='b'
  a='c', d='b', e='c'
  a='c', d='b', e='d'
  a='c', d='c', e='a'
  a='c', d='c', e='b'
  a='c', d='c', e='c'
  a='c', d='c', e='d'
  a='c', d='d', e='a'
  a='c', d='d', e='b'
  a='c', d='d', e='c'
  a='c', d='d', e='d'
  a='d', d='a', e='a'
  a='d', d='a', e='b'
  a='d', d='a', e='c'
  a='d', d='a', e='d'
  a='d', d='b', e='a'
  a='d', d='b', e='b'
  a='d', d='b', e='c'
  a='d', d='b', e='d'
  a='d', d='c', e='a'
  a='d', d='c', e='b'
  a='d', d='c', e='c'
  a='d', d='c', e='d'
  a='d', d='d', e='a'
  a='d', d='d', e='b'
  a='d', d='d', e='c'
  a='d', d='d', e='d'
1 passes: R4
SCC: R3
bcd(b,c,d) :- chars(b),chars(c),chars(d).
  b='a', c='a', d='a'
  b='a', c='a', d='b'
  b='a', c='a', d='c'
  b='a', c='a', d='d'
  b='a', c='b', d='a'
  b='a', c='b', d='b'
  b='a', c='b', d='c'
  b='a', c='b', d='d'
  b='a', c='c', d='a'
  b='a', c='c', d='b'
  b='a', c='c', d='c'
  b='a', c='c', d='d'
  b='a', c='d', d='a'
  b='a', c='d', d='b'
  b='a', c='d', d='c'
  b='a', c='d', d='d'
  b='b', c='a', d='a'
  b='b', c='a', d='b'
  b='b', c='a', d='c'
  b='b', c='a', d='d'
  b='b', c='b', d='a'
  b='b', c='b', d='b'
  b='b', c='b', d='c'
  b='b', c='b', d='d'
  b='b', c='c', d='a'
  b='b', c='c', d='b'
  b='b', c='c', d='c'
